Equations,Slope,Intercept,Equation ID,x (Thickness),y (Thermal Conductivity Profile),Tdelay,ModelRatio
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,400,0.54,698.387201,1.306586
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,80,4.348,742.120246,1.298158
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,160,3.396,742.120246,1.298158
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,240,2.444,742.120246,1.298158
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,320,1.492,742.120246,1.298158
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,400,0.54,742.120246,1.298158
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,80,4.348,788.591858,1.288327
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,160,3.396,788.591858,1.288327
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,240,2.444,788.591858,1.288327
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,320,1.492,788.591858,1.288327
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,400,0.54,788.591858,1.288327
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,80,4.348,837.973524,1.278675
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,160,3.396,837.973524,1.278675
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,240,2.444,837.973524,1.278675
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,320,1.492,837.973524,1.278675
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,400,0.54,837.973524,1.278675
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,80,4.348,890.447473,1.268827
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,160,3.396,890.447473,1.268827
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,240,2.444,890.447473,1.268827
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,320,1.492,890.447473,1.268827
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,400,0.54,890.447473,1.268827
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,80,4.348,946.207343,1.258445
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,160,3.396,946.207343,1.258445
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,240,2.444,946.207343,1.258445
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,320,1.492,946.207343,1.258445
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,400,0.54,946.207343,1.258445
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,80,4.348,1005.4589,1.247774
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,160,3.396,1005.4589,1.247774
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,240,2.444,1005.4589,1.247774
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,320,1.492,1005.4589,1.247774
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,400,0.54,1005.4589,1.247774
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,80,4.348,1068.420792,1.236333
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,160,3.396,1068.420792,1.236333
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,240,2.444,1068.420792,1.236333
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,320,1.492,1068.420792,1.236333
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,400,0.54,1068.420792,1.236333
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,80,4.348,1135.325362,1.225087
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,160,3.396,1135.325362,1.225087
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,240,2.444,1135.325362,1.225087
